,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
4137,3,325,23,106,3.3, 本科：南大，浙大，复旦，上交,feidaowenzhan
2111,,326,24,106,3.3,,Gloria_S
2047,,323,,106,3.3,,JerryLi
1221,4,316,23,107,3.3, 本科Top30 211,srxiaoj
369,,319,,107,3.3, 本科：北大，清华，科大，中科院，特色学校牛专业,slxu
399,4,324,,108,3.3, 本科：南大，浙大，复旦，上交,cadywsq
2115,,,,,3.3, 本科Top15 211,路人甲子
2906,,,,,3.3, 本科其他211,Noah1994
3239,,,,,3.3, 本科：北大，清华，科大，中科院，特色学校牛专业,兜兜笔
4172,,323,,,3.3, 本科其他211,不二
2327,3.5,323,26,104,3.31, 本科：北大，清华，科大，中科院，特色学校牛专业,ryermit
3376,3,331,,104,3.31, 本科Top30 211,松松的鞋带儿
447,3,311,22,92,3.32, 本科Top30 211,singku
1895,3,320,19,99,3.32, 本科非211,chuqixiaozhu
362,3,,23,108,3.32, 本科：南大，浙大，复旦，上交,peanu
2231,3.5,321,27,115,3.36, 本科Top15 211,chuyang
1890,3,320,20,103,3.39, 本科Top15 211,安如画
2081,3,319,23,104,3.39, 本科其他211,fanta
157,,307,,84,3.4, 本科其他211,沉默的小马
2297,3,327,20,97,3.4, 本科Top15 211,甜心
4159,3.5,323,18,98,3.4, 本科Top15 211,stevenlli
511,3,304,24,99,3.4, 本科非211,provhomme
1239,,318,,100,3.4, 海本,李大牛
772,3,321,22,101,3.4, 本科Top15 211,ataraxian
519,,320,,101,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,wsd10
1432,,317,,101,3.4, 本科Top15 211,magorium
3048,,326,,101,3.4, 本科Top30 211,ada要offer
2151,3,322,,102,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,lipopoxin
3362,,327,,102,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,demonstrate
122,3,331,24,104,3.4, 本科：南大，浙大，复旦，上交,maxio110
704,,324,,104,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,emissary30
3073,3,326,23,105,3.4, 本科非211,dushi792
71,3.5,314,,105,3.4, 本科Top30 211,mgllyyk
2196,,325,23,106,3.4, 本科Top15 211,crth
611,3,331,,107,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,brendaV
766,3,328,22,109,3.4, 本科Top15 211,BaskWind
58,,329,,109,3.4, 本科Top30 211,aprilxiao
3405,3.5,324,23,111,3.4, 本科：南大，浙大，复旦，上交,66666t
620,,323,,111,3.4, 本科：南大，浙大，复旦，上交,ryan_sun
266,,334,,112,3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,zj45499
634,,,,,3.4, 本科其他211,古风
689,,,,,3.4, 本科Top15 211,chrisVoid
921,,,,,3.4, 本科Top15 211,whiskey547
1133,,,,,3.4, 本科其他211,Sayings
1445,,,,,3.4, 本科Top30 211,xuehongfa
1909,,,,,3.4, 本科其他211,yuyuyu0905
3047,,,,,3.4, 本科Top30 211,an小淇
602,,312,,81,3.41, 本科Top15 211,simonsong
2766,3.5,332,23,108,3.41, 本科：南大，浙大，复旦，上交,ultimecia7
290,,325,,97,3.42, 本科Top30 211,lzlindy
2187,3,320,20,100,3.42, 本科Top30 211,喵大侠君君君
3582,3,315,24,101,3.42,,MrMussi
2641,3.5,318,,101,3.42, 本科非211,wjw2022
487,3.5,324,,108,3.42, 本科：北大，清华，科大，中科院，特色学校牛专业,pacman
51,,,,,3.42, 本科Top15 211,几碗米饭
151,,,,,3.42, 本科其他211,llx
339,3,323,22,105,3.43, 海本,wuyang1992
837,3,321,23,106,3.43, 本科：南大，浙大，复旦，上交,韦斯特大人
61,3,324,23,108,3.43, 本科Top15 211,接发球
4258,3.5,335,27,110,3.43, 海本,Taeyoulee
2319,,,,,3.43,,ysz0115
419,3,324,22,108,3.44, 本科：北大，清华，科大，中科院，特色学校牛专业,wbcustc
436,3,330,22,108,3.44, 本科：南大，浙大，复旦，上交,AndyLiu0429
356,4,327,26,113,3.44, 本科：南大，浙大，复旦，上交,sabrinasong
3117,3.5,327,20,102,3.45,,lazywei
2977,3,324,,102,3.45, 本科Top15 211,黑客与画家
3779,,325,,102,3.45, 海本,Roc1mu3fen
3532,3.5,322,22,104,3.46, 本科：南大，浙大，复旦，上交,maston14
757,3.5,322,24,105,3.46, 本科：北大，清华，科大，中科院，特色学校牛专业,diligent1787
592,3,327,24,106,3.46, 本科Top15 211,stormmax
3652,,,,,3.46, 本科Top30 211,catdog01
2175,3.5,326,24,109,3.47, 本科：南大，浙大，复旦，上交,maticzc
3484,3,321,19,100,3.48,,haiwei624
278,3,323,22,100,3.48, 本科：北大，清华，科大，中科院，特色学校牛专业,mouwu.lin
250,3,319,23,100,3.48, 本科：南大，浙大，复旦，上交,wongwill325
3253,3,314,,104,3.48, 本科其他211,laviniatx
2526,,320,,105,3.48, 本科：南大，浙大，复旦，上交,carly900
3719,,,,,3.48, 本科其他211,拉普拉斯
212,,315,,100,3.49, 本科非211,espange
2839,3,326,,100,3.49, 本科其他211,小学豆豆
297,3,324,26,105,3.49, 本科：南大，浙大，复旦，上交,Gvnfy
2760,,316,,85,3.5, 本科其他211,0825jie
432,3,312,19,92,3.5, 本科Top15 211,infinity730
905,3.5,319,18,94,3.5, 本科Top30 211,cicitaotao
163,,316,,97,3.5, 本科Top30 211,aaaeeeo
651,,318,,97,3.5, 本科Top30 211,minta
1202,3,319,,98,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,lymustc
549,3,319,23,100,3.5,,哈巴崽
1135,,,,100,3.5, 海本,香草可乐
2625,,,,100,3.5, 本科Top30 211,coderredoc
3214,3,314,22,101,3.5, 本科Top30 211,iakul2
144,,326,,101,3.5,,amyzen
3210,3.5,325,,101,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,olalalalalalala
430,3.5,318,20,102,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,bersserker
3090,,327,,102,3.5, 本科：南大，浙大，复旦，上交,不再当水军
3140,,313,22,103,3.5, 本科：南大，浙大，复旦，上交,gumendier
4259,3.5,325,23,103,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,dydcfg
245,,327,,103,3.5, 本科其他211,kira_HC
1979,3.5,320,23,104,3.5, 本科其他211,liuyelei0621
4265,3.5,320,23,104,3.5, 本科其他211,抱考拉的桉树猫
777,3,320,26,104,3.5,,桑梓地
2646,3,324,,104,3.5, 本科Top30 211,怒风逐日
1289,3.5,321,23,105,3.5, 本科Top15 211,Hmzzz
2066,,320,23,106,3.5, 本科：南大，浙大，复旦，上交,苏缘Suyuan
2525,3,327,24,106,3.5,,hyzl1sdo
3372,3.5,324,,107,3.5, 本科Top15 211,zhaojun
257,3,326,23,108,3.5, 本科Top15 211,tcstar
942,3.5,322,,108,3.5, 本科Top30 211,hp257
4178,3.5,330,,108,3.5, 海本,henry1qaz
3520,3,325,,109,3.5, 本科：南大，浙大，复旦，上交,ZJNSJTU
224,,325,28,112,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,mm1017
220,5,328,,,3.5, 海本,l328
1125,,,,,3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,versemonger
1489,4,322,,,3.5, 本科：南大，浙大，复旦，上交,zhangrf
1550,,,,,3.5, 本科Top30 211,tommylin
2556,,,,,3.5,,portofino
4007,,,,,3.5, 本科其他211,taotaower
1223,3,314,18,96,3.51, 本科Top30 211,hanyu
377,3,,24,100,3.52, 本科Top15 211,kobezhaowei
117,3.5,329,24,106,3.52, 本科Top15 211,Kinatahsama
2305,3.5,325,22,108,3.52, 本科其他211,FlynnWang
2628,,,,,3.52, 本科Top30 211,kobeliujie
1262,2.5,327,,96,3.53, 本科Top15 211,themis00
259,3.5,323,22,103,3.53, 本科非211,lonely-melon
1868,,321,,103,3.53, 本科Top30 211,perthblank
1178,,,,,3.53, 本科：南大，浙大，复旦，上交,excellent5
4071,,320,19,98,3.54, 本科：南大，浙大，复旦，上交,oshizhiyouni
936,3,318,22,100,3.54, 本科Top15 211,yougmark
70,3.5,326,24,105,3.54, 本科Top15 211,qwsolitude
4044,3.5,325,22,106,3.54, 本科：北大，清华，科大，中科院，特色学校牛专业,alexanderhmw
1060,4,324,,106,3.54, 本科：南大，浙大，复旦，上交,eypw152
3127,3,318,23,107,3.54, 本科Top15 211,stlm1991
3193,3,323,,110,3.54, 本科：南大，浙大，复旦，上交,luttmm
209,3.5,327,,103,3.55, 本科Top30 211,zhengdawei911
386,3,326,24,104,3.55, 本科Top30 211,Lycn_Cross
1147,3.5,326,,104,3.55, 本科Top15 211,rier2011
243,3.5,,23,107,3.55,,iPhD
2469,,331,,100,3.56, 本科：南大，浙大，复旦，上交,hypsm
3879,3,319,20,101,3.56, 本科Top30 211,zl_demon
8,,320,,101,3.56, 本科其他211,王十七
2975,3,329,23,104,3.56, 本科：南大，浙大，复旦，上交,chenboy
3118,,,,,3.56, 本科Top15 211,crazigoal
3630,,323,,,3.56, 海本,xiaozegu
1189,3,307,24,97,3.57, 本科其他211,aegis
2219,3,319,,100,3.57, 本科：南大，浙大，复旦，上交,whitevh
962,,319,22,102,3.57, 本科Top15 211,ee470474137
477,3.5,312,22,103,3.57, 本科：南大，浙大，复旦，上交,zzzregister
422,,325,26,108,3.57, 本科非211,leoooodu
1232,3.5,327,24,109,3.57, 本科Top30 211,albusshin
