,username,adschool,result,degree,major,grad_major,grad_school,background,year,ap_time,country,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank
3222,telotic,USC,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,22,4,17,10.22,3
3224,telotic,UMich,1,MS,CS,, ,,16Fall,2015/12/14,美国,1,22,4,17,10.22,3
2605,jisong_L,TAMU,1,MS,CS,, ,,16Fall,2016/1/12,美国,1,30,4,18,10,3
2600,jisong_L,Stanford,0,MS,CS,, ,,16Fall,2015/12/7,美国,1,30,4,18,10,3
3965,schenkerx,Arizona State University,1,MS,CS,软件工程 , 华南理工大学,,16Fall,2016/1/8,美国,1.5,19,4,10,1.5875,3
1115,schnappi,KU,0,MS,CS,信息工程 , BUPT,,15Fall,2015/1/5,美国,1,17,2,14,2.6,3
2912,燃烧男,UIUC,0,MS,CS,CS , BIT,2水paper+conference，1个军工项目，都是优化方向，美赛M，CCF OUA,16Fall,2015/12/15,美国,1,20,4,26,10,3
1672,ypandxy,cs@nyu-poly,1,MS,CS,ee , ,,15Fall,2014/12/31,美国,1,22,5,16,4.8,3
1648,yy80884676,Brown Univ,1,MS,CS,地理信息系统（理科实验班） , 中国农业大学,,15Fall,2015/1/22,美国,1,28,4,23,11.0375,3
2608,jisong_L,USC,1,MS,CS,, ,,16Fall,2015/12/8,美国,1,30,4,18,10,3
2607,jisong_L,CMU,0,MS,CS,, ,,16Fall,2016/1/11,美国,1,30,4,18,10,3
2980,fay067,CS@UMass,1,MS,CS,CS , ,,16Fall,2015/12/11,美国,1,22,4,17,2.6,3
2606,jisong_L,CMU,0,MS,CS,, ,,16Fall,2016/1/11,美国,1,30,4,18,10,3
3503,wy3966,JHU,1,MS,CS,IOT , XJTU,,16Fall,2015/11/30,美国,1,22,4,17,4.5,3
3504,wy3966,物联网@XJTU,0,MS,CS,, ,,16Fall,2015/11/29,美国,1,22,4,17,4.5,3
3505,wy3966,Northwestern,1,MS,CS,物联网 , 西安交大,,16Fall,2015/11/27,美国,1,22,4,17,4.5,3
1196,vicky95,Rice,0,MS,CS,, ,,15Fall,2015/1/7,美国,1,20,4,7,4.5,3
1195,vicky95,WPI,1,MS,CS,SE , SCU,,15Fall,2014/12/27,美国,1,20,4,7,4.5,3
582,lanabc,NEU,1,MS,MIS,电信工程 , BUPT,校级创新项目ML方向,15Fall,2014/12/29,美国,1,13,4,20,4.4,3
583,lanabc,Tufts,0,MS,CS,, bupt,,15Fall,2015/1/12,美国,1,13,4,20,4.4,3
584,lanabc,NEU,1,MS,MIS,电信工程 , BUPT,校级创新项目ML方向,15Fall,2014/12/29,美国,1,13,4,20,4.4,3
1603,lunarscar,USC,1,MS,CS,CS , BNU,,15Fall,2015/1/1,美国,1,22,2,14,4.4,3
4091,Amaolll123,GWU,1,MS,CS,EE , 厦门大学,,16Fall,2015/12/19,美国,1,25,4,18,4.31,3
3704,聚散浮云,CS General@NEU Seattle & BIC@CMU,1,MS,CS,Software Engineering , HITWH,无牛腿,16Fall,2015/12/15,美国,1.5,22,4,18,4.3,3
3703,聚散浮云,UUtah NYU,1,MS,CS,SE , HITWH,,16Fall,2015/12/31,美国,1.5,22,4,18,4.3,3
1117,schnappi,GWU,1,MS,CS,, ,,15Fall,2015/1/8,美国,1,17,2,14,2.6,3
3702,聚散浮云,Rice,1,MS,CS,, ,,16Fall,2015/12/20,美国,1.5,22,4,18,4.3,3
3705,聚散浮云,CS General@NEU Seattle & BIC@CMU,1,MS,CS,Software Engineering , HITWH,无牛腿,16Fall,2015/12/15,美国,1.5,22,4,18,4.3,3
2609,jisong_L,MIIS，BIC@CMU,0,MS,CS,, ,,16Fall,2015/12/12,美国,1,30,4,18,10,3
3392,punkl,University of Rochester,0,PhD,CS,Communication Engineering , UESTC,一封本科老板 一个现在实验室post 一个学院Chair,16Fall,2015/12/14,美国,1,20,4,17,10.25,3
3431,飞天小女鬼,University of Wisconsin- Madison,1,MS,CS,信息工程（吴健雄学院） , 东南大学,香港交换一学期，很水的会议paper但是会是在日本开的,16Fall,2015/12/15,美国,1.5,31,4,19,10.25,3
3426,飞天小女鬼,Gatech,1,MS,CS,, ,,16Fall,2016/1/30,美国,1.5,31,4,19,10.25,3
3429,飞天小女鬼,CMU,1,MS,CS,, ,,16Fall,2016/1/1,美国,1.5,31,4,19,10.25,3
3802,orange_leave,SE/ESE@CMU,0,MS,CS,测控 , UESTC,,16Fall,2015/12/25,美国,1,23,4,14,10.3625,3
3462,sensir,cs@UIUC&UCB,0,MS,CS,, ,无paper无牛腿，BAT实习一年工作两年,16Fall,2015/12/15,美国,1,23,4,16,3,3
3463,sensir,wisc,0,MS,CS,软件工程 , ,BAT实习一年工作一年半 acm金奖,16Fall,2015/12/15,美国,1,23,4,16,3,3
4079,换一种心情,Princeton University,1,PhD,CS,, 北航,CV方向顶会一作一篇，其他journal和在投的若干。三封海外推荐信，UCSD老板strong推荐信，NUS老板strong推荐信，还有一个UCSD比较熟的老师有一封应该还ok的,16Fall,2016/2/6,美国,2,37,5,25,10.6,3
1740,srxiaoj,ebiz@CMU,1,MS,CS,, ,,15Fall,2015/2/1,美国,2,16,5,22,3.725,3
1741,srxiaoj,CS@Brandeis,1,MS,CS,, ,,15Fall,2015/2/1,美国,2,16,5,22,3.725,3
1742,srxiaoj,Chicago,0,MS,CS,, ,,15Fall,2015/2/1,美国,2,16,5,22,3.725,3
4078,换一种心情,Cornell University,1,PhD,CS,, 北航,"4 papers including 1 first-author ICCV paper, 3 strong LoRs from professors familiar with POI",16Fall,2016/2/12,美国,2,37,5,25,10.6,3
4077,换一种心情,University of Texas at Austin,1,PhD,CS,, ,,16Fall,2015/12/5,美国,2,37,5,25,10.6,3
1374,ChaosandCosmos,wpi(Worcester Polytechnic Institute),1,MS,CS,, ,国内大公司实习,15Fall,2015/1/14,美国,1,14,4,6,3,3
1813,skiphoop,CMU,0,MS,CS,Information Security , ,"IEEE rank B conf paper *1(4th author), IEEE rank c conf paper*1(1st author), Top journal paper*1(2nd author), 2 paper in progress, 4 invited academic talks",15Fall,2015/1/22,美国,1,10,2,14,3.05,3
2586,李土它,UCSC,0,MS,CS,物联网 , bupt,,16Fall,2016/1/1,美国,1,23,4,12,3.1,3
2585,李土它,Cornell,0,MS,CS,物联网 , 北邮bupt,,16Fall,2016/1/10,美国,1,23,4,12,3.1,3
2583,李土它,USC,1,MS,CS,IoT物联网 , 北邮BUPT,,16Fall,2016/1/14,美国,1,23,4,12,3.1,3
2241,609064231,NEU,1,MS,CS,, ,,16Fall,2016/1/20,美国,1,23,4,20,3.725,3
2584,李土它,NEU,0,MS,CS,IoT , 北邮BUPT,,16Fall,2016/2/28,美国,1,23,4,12,3.1,3
1529,vivienerwen,Dartmouth,0,PhD,CS,EE , bupt,,15Fall,2014/12/15,美国,1,22,4,17,10.5,3
1528,vivienerwen,UCSB,1,MS,CS,EE , BUPT,,15Fall,2014/12/13,美国,1,22,4,17,10.5,3
2798,Michal,UCR,1,MS,CS,SE , 东南大学,,16Fall,2015/12/14,美国,1,18,4,9,3.275,3
2799,Michal,OSU,0,MS,CS,SE , 东南大学,,16Fall,2016/1/8,美国,1,18,4,9,3.275,3
2800,Michal,WUSTL,0,MS,CS,SE , SEU,,16Fall,2016/1/10,美国,1,18,4,9,3.275,3
1373,zhan8803705,WPI,1,MS,CS,Software Engineering , HNU,,15Fall,2015/1/18,美国,1,21,5,18,3.3875,3
739,月涌大江流,U-Michigan,0,MS,EE,, BUAA,SCI一作2篇（两篇申请的时候在审，一篇现在已录），国际会议一篇，内容都是关于图像处理的。,12Fall,Nov-11,美国,1,22,6,23,10.475,3
3461,sensir,umass-Amherst,0,MS,CS,, ,BAT实习一年工作两年,16Fall,2015/12/15,美国,1,23,4,16,3,3
1739,srxiaoj,"MCS@Rice, IM@Syracuse",1,MS,CS,化学 , 兰州大学,3篇物理化学sci paper一作，2个cs方向project,15Fall,2015/3/12,美国,2,16,5,22,3.725,3
3954,GetMeNow,CS@CMU,0,MS,CS,SCIE , UESTC,,16Fall,2015/12/14,美国,1.5,29,4,12,10.7,3
3955,GetMeNow,machine learning SCS CMU,0,MS,CS,EE , 电子科技大学,"IEEE Comm. Letters, first author",16Fall,2015/12/15,美国,1.5,29,4,12,10.7,3
2242,609064231,CS@CMU,1,MS,CS,CS , BIT,,16Fall,2016/1/15,美国,1,23,4,20,3.725,3
3428,飞天小女鬼,UChicago,1,MS,CS,, ,,16Fall,2016/1/9,美国,1.5,31,4,19,10.25,3
2243,609064231,NYU-Tandon,1,MS,CS,CS , BIT,,16Fall,2016/1/15,美国,1,23,4,20,3.725,3
3391,punkl,MSU,1,PhD,CS,, ,,16Fall,2015/12/10,美国,1,20,4,17,10.25,3
2245,609064231,BIC@CMU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,23,4,20,3.725,3
3430,飞天小女鬼,Dartmouth,1,MS,CS,信息工程（吴健雄学院） , SEU,,16Fall,2015/12/15,美国,1.5,31,4,19,10.25,3
3427,飞天小女鬼,Purdue,1,MS,CS,, ,,16Fall,2015/12/20,美国,1.5,31,4,19,10.25,3
2538,Funky_QiQi,WUSTL,0,MS,CS,cs , ,无牛推、有水实习、4作论文在审、数学建模..,16Fall,2015/12/21,美国,1,22,4,15,3.725,3
2536,Funky_QiQi,OSU,0,MS,CS,, ,,16Fall,2015/12/22,美国,1,22,4,15,3.725,3
2537,Funky_QiQi,UPitt,0,MS,CS,, ,,16Fall,2015/12/29,美国,1,22,4,15,3.725,3
2324,我们的永远,NEU,0,MS,CS,CS , BIT,一个老师stanford访学不算牛推吧,16Fall,2016/1/13,美国,1.5,23,5,19,2.9375,3
2318,我们的永远,UAlberta,0,MS,CS,, ,,16Fall,2016/1/11,加拿大,1.5,23,5,19,2.9375,3
1031,sam2015,WPI,1,MS,CS,Automation , BJTU,无,15Fall,2015/1/2,美国,1.5,20,4,16,10.3,3
1030,sam2015,CMU BIC,1,MS,CS,Automation , BJTU,无,15Fall,2015/1/6,美国,1.5,20,4,16,10.3,3
2535,Funky_QiQi,Columbia,0,MS,CS,, ,,16Fall,2015/12/14,美国,1,22,4,15,3.725,3
2244,609064231,CU Boulder,1,MS,CS,CS , ,,16Fall,2015/12/15,美国,1,23,4,20,3.725,3
1032,sam2015,CMU,0,MS,CS,, BJTU,,15Fall,2015/1/6,美国,1.5,20,4,16,10.3,3
2322,我们的永远,UIUC,0,MS,CS,, ,,16Fall,2015/12/7,美国,1.5,23,5,19,2.9375,3
2323,我们的永远,UMW,0,混合,CS,, ,,16Fall,2015/12/10,美国,1.5,23,5,19,2.9375,3
2319,我们的永远,NYU,0,MS,CS,, ,,16Fall,2016/1/11,美国,1.5,23,5,19,2.9375,3
2320,我们的永远,Columbia,0,MS,CS,, ,,16Fall,2016/1/11,美国,1.5,23,5,19,2.9375,3
2321,我们的永远,UTD,1,MS,CS,, ,,16Fall,2016/2/18,美国,1.5,23,5,19,2.9375,3
2914,燃烧男,CMU-ML,0,MS,CS,CS , BIT,水科研，多项目，不错的竞赛，CCF OUA,16Fall,2015/12/1,美国,1,20,4,26,10,3
1842,xuehongfa,UCSB,0,MS,CS,CS , BUPT,,15Fall,2014/11/18,美国,1,22,4,17,4.85,3
1649,yy80884676,Columbia University,1,MS,CS,地理信息系统 , 中国农业大学,,15Fall,2015/1/15,美国,1,28,4,23,11.0375,3
2856,feifeijiejie,UPitts,0,MS,CS,网络工程 , UESTC,,16Fall,2015/12/15,美国,1.5,20,8,17,2.15,3
2765,marooned,CS@TAMU,1,MS,CS,CS , HIT,,16Fall,2015/12/15,美国,1,26,4,24,5,3
2764,marooned,CS@UCSD,0,MS,CS,CS , HIT,,16Fall,2015/12/15,美国,1,26,4,24,5,3
2763,marooned,CMU,1,MS,CS,CS , HIT,,16Fall,2015/12/15,美国,1,26,4,24,5,3
3056,hi_ydy,MIIS@CMU,0,MS,CS,, BUPT,,16Fall,2015/12/3,美国,1,24,5,17,9.89,3
2770,marooned,NEU,0,MS,CS,CS , 哈工大,无,16Fall,2015/12/15,美国,1,26,4,24,5,3
738,月涌大江流,U-Michigan,0,MS,EE,, BUAA,SCI一作2篇（两篇申请的时候在审，一篇现在已录），国际会议一篇，内容都是关于图像处理的。,12Fall,Nov-11,美国,1,22,6,23,10.475,3
2768,marooned,NYU Tandon,1,MS,CS,CS , 哈工大,,16Fall,2015/12/16,美国,1,26,4,24,5,3
2767,marooned,Rice,1,MS,CS,CS , 哈工大,,16Fall,2015/12/15,美国,1,26,4,24,5,3
2067,wangsiwei,NCSU,1,MS,CS,SE , SEU,三年游戏业工作经验,16Fall,2015/12/14,美国,1,19,4,9,2.15,3
2068,wangsiwei,WPI,0,MS,CS,, 东南大学,,16Fall,2015/12/30,美国,1,19,4,9,2.15,3
2766,marooned,CS@BU,1,MS,CS,CS , HIT,,16Fall,2015/12/15,美国,1,26,4,24,5,3
2860,feifeijiejie,NYU-poly,0,MS,CS,, ,,16Fall,2015/12/20,美国,1.5,20,8,17,2.15,3
3054,hi_ydy,INI@CMU,0,MS,CS,, BUPT,,16Fall,2015/12/15,美国,1,24,5,17,9.89,3
1468,zyy20853,ETH Zurich,1,MS,CS,CS , 大连理工,,15Fall,2014/12/1,欧洲,1,19,4,5,9.9,3
1470,zyy20853,CMU,0,MS,CS,CS , 大连理工,,15Fall,2014/12/3,美国,1,19,4,5,9.9,3
780,dolphin_wby,CMU ebiz,1,MS,CS,EE , ,,15Fall,2014/12/1,美国,1,27,5,20,9.9,3
779,dolphin_wby,CS@NEU,1,MS,CS,电子信息工程 , SDU,"两段CS水实习,两个安卓app(一个in progress)",15Fall,2014/12/7,美国,1,27,5,20,9.9,3
781,dolphin_wby,NCSU,1,MS,CS,电子信息工程 , SDU,两段cs水实习,15Fall,2014/12/7,美国,1,27,5,20,9.9,3
1469,zyy20853,CMU,0,MS,CS,, ,,15Fall,2014/12/1,美国,1,19,4,5,9.9,3
2066,wangsiwei,Utah,0,MS,CS,软件工程 , 东南大学,,16Fall,2015/12/13,美国,1,19,4,9,2.15,3
3652,sdlcenjoy,UIUC,0,MS,CS,cs , ,,16Fall,2015/12/15,美国,1.5,22,4,17,9.9125,3
2861,feifeijiejie,NEU,0,MS,CS,Network Engineering , ,,16Fall,2015/12/15,美国,1.5,20,8,17,2.15,3
4108,Sooniy,CS@NEU,0,MS,CS,CS , NEU,,16Fall,2016/1/1,美国,0.5,22,4,11,9.9125,3
3982,dvida,RPI,0,MS,CS,, ,,16Fall,2015/12/31,美国,1.5,27,4,21,5,3
2762,marooned,UCDavis,1,MS,CS,CS , HIT,,16Fall,2015/12/15,美国,1,26,4,24,5,3
3055,hi_ydy,Columbia University,1,MS,CS,, BUPT,UCD的实习经历和推荐信,16Fall,2015/12/15,美国,1,24,5,17,9.89,3
3156,chuck_long,USC,1,MS,CS,EE , DLUT,,16Fall,2015/12/8,美国,1.5,20,5,14,5,3
4122,lxao,UCSC,1,PhD,CS,, ,,16Fall,2016/1/2,美国,1.5,23,5,17,9.6875,3
3476,pwwpcheng,INI@CMU,0,MS,CS,CS , BUPT,,16Fall,2016/1/12,美国,1.5,29,6,20,5,3
3235,SherryYu,NYU-Tandon,1,MS,CS,CS , CQU,,16Fall,2016/1/15,美国,1,20,4,16,5,3
3475,pwwpcheng,Brown,0,MS,CS,CS , BUPT,,16Fall,2016/1/3,美国,1.5,29,6,20,5,3
4124,lxao,OSU,1,PhD,CS,CS , 电子科大,几篇system会议，都不是一作，推荐人 导师+外校+海外,16Fall,2016/1/6,美国,1.5,23,5,17,9.6875,3
1331,cicean,UW,0,PhD,CS,CS , BIT,no,15Fall,2014/12/24,美国,1,28,4,21,2,3
1332,cicean,Caltech,0,PhD,CS,CS , BIT,,15Fall,2014/12/13,美国,1,28,4,21,2,3
3320,tyraell,Ebiz@CMU,1,MS,CS,SE , UESTC,无牛推，无科研，有两个实习和几个跟着老师做的项目，偏工程实践,16Fall,2015/12/12,美国,1.5,26,4,22,5,3
2656,yuhaichao10,@,0,MS,CS,, ,外企实习半年，大四美国 IIT 交流一年，IIT华人教授普通推荐信一封,16Fall,Jan-16,美国,1,21,4,14,5,3
2653,yuhaichao10,"UT Austin, Duke, OSU, Stonybrook",0,MS,CS,, ,,16Fall,,美国,1,21,4,14,5,3
2654,yuhaichao10,UIUC,0,MS,CS,, ,,16Fall,Dec-16,美国,1,21,4,14,5,3
3053,hi_ydy,UCSD,0,MS,CS,, BUPT,,16Fall,2015/12/15,美国,1,24,5,17,9.89,3
3513,soarbus,INI@CMU,0,MS,CS,CS , BUPT,,16Fall,2015/12/31,美国,1,20,4,17,5,3
3318,tyraell,CMU,0,MS,CS,SE , UESTC,,16Fall,2015/12/13,美国,1.5,26,4,22,5,3
3512,soarbus,Info Science@Cornell,1,MS,CS,, ,,16Fall,2015/12/12,美国,1,20,4,17,5,3
4123,lxao,UC Riverside,1,PhD,CS,, ,,16Fall,2016/1/5,美国,1.5,23,5,17,9.6875,3
2069,wangsiwei,ASU,1,MS,CS,SE , 东南大学,,16Fall,2015/11/29,美国,1,19,4,9,2.15,3
2064,wangsiwei,OSU,0,MS,CS,SE , SEU,,16Fall,2016/1/10,美国,1,19,4,9,2.15,3
3346,jiangxu456,USC CS,1,MS,CS,EE , SEU,,16Fall,2016/1/15,美国,1.5,24,4,15,9.72,3
2065,wangsiwei,Umass amherst,0,MS,CS,软件工程 , 东南大学,,16Fall,2015/12/1,美国,1,19,4,9,2.15,3
3347,jiangxu456,UCSD,1,MS,CS,ee , seu,,16Fall,2015/12/15,美国,1.5,24,4,15,9.72,3
3052,hi_ydy,UCSD,1,MS,CS,, BUPT,,16Fall,2015/12/15,美国,1,24,5,17,9.89,3
2855,feifeijiejie,OSU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1.5,20,8,17,2.15,3
4107,Sooniy,Virginia Tech,1,MS,CS,CS , NUE,,16Fall,2016/1/2,美国,0.5,22,4,11,9.9125,3
2603,jisong_L,CMU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,30,4,18,10,3
2533,an小淇,CS@UChicago,0,MS,CS,SE , ,,16Fall,2015/12/9,美国,1,22,4,17,4.85,3
2532,an小淇,CS@Columbia,0,MS,CS,, ,,16Fall,2015/12/21,美国,1,22,4,17,4.85,3
2687,laobulang,"University of Maryland, College Park",0,MS,CS,, ,,16Fall,2015/11/27,美国,1,24,4,15,2.2625,3
2686,laobulang,CS@JHU,1,MS,CS,CS , ECNU,Imagine Cup，学校，市级竞赛，暑期实习,16Fall,2015/11/27,美国,1,24,4,15,2.2625,3
997,zl9394,Brown,1,MS,CS,CS , BUPT,,15Fall,2015/1/1,美国,1.5,28,6,22,10,3
2685,laobulang,OSU,0,MS,CS,, ,,16Fall,2015/12/23,美国,1,24,4,15,2.2625,3
998,zl9394,CMU-INI,0,MS,CS,CS , BUPT,一校牛 一HP技术主管,15Fall,2014/12/21,美国,1.5,28,6,22,10,3
2604,jisong_L,northwestern university,1,MS,CS,, ,,16Fall,2015/12/25,美国,1,30,4,18,10,3
2917,燃烧男,Yale,1,MS,CS,CS , ,乱七八糟的奖,16Fall,2015/12/11,美国,1,20,4,26,10,3
301,mgllyyk,AD MSIS@ U Pitt & Rej MSIM@UW Seattle,1,MS,MIS,信息管理与信息系统 , ,,15Fall,2015/1/15,美国,1.5,14,4,20,4.85,3
140,aprilxiao,RPI,1,MS,MIS,MIS , ,水实习两个：国内某大型互联网公司项目经理；四大信息安全审计,15Fall,2014/12/31,美国,1,29,4,24,4.85,3
3553,ada要offer,NYU,1,MS,CS,, ,,16Fall,2016/2/1,美国,1,26,4,16,4.85,3
2913,燃烧男,CMU/MRSD,0,MS,CS,CS , BIT,,16Fall,2015/12/3,美国,1,20,4,26,10,3
2915,燃烧男,CMU,0,MS,CS,CS , BIT,水科研，多项目，不错的竞赛，CCF OUA,16Fall,2015/12/1,美国,1,20,4,26,10,3
2610,jisong_L,upenn,0,MS,CS,IoT , ,,16Fall,2015/11/14,美国,1,30,4,18,10,3
3554,ada要offer,UChicago,0,MS,CS,IoT , ,,16Fall,2015/12/15,美国,1,26,4,16,4.85,3
2916,燃烧男,UCB,0,混合,CS,CS , ,水科研，多项目，不错的竞赛，CCF OUA,16Fall,2015/12/1,美国,1,20,4,26,10,3
139,aprilxiao,MISM 21 month@CMU,1,MS,MIS,, ,,15Fall,2014/12/31,美国,1,29,4,24,4.85,3
2910,燃烧男,Brown,0,MS,CS,CS , BIT,,16Fall,2016/1/6,美国,1,20,4,26,10,3
138,aprilxiao,RPI,1,MS,MIS,MIS , ,水实习两个：国内某大型互联网公司项目经理；四大信息安全审计,15Fall,2014/12/31,美国,1,29,4,24,4.85,3
2601,jisong_L,UCLA,0,MS,CS,, ,,16Fall,2015/12/1,美国,1,30,4,18,10,3
302,mgllyyk,UIUC,1,MS,MIS,, ,,15Fall,2014/12/24,美国,1.5,14,4,20,4.85,3
2602,jisong_L,CMU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,30,4,18,10,3
303,mgllyyk,AD MSIS@ U Pitt & Rej MSIM@UW Seattle,1,MS,MIS,信息管理与信息系统 , ,,15Fall,2015/1/15,美国,1.5,14,4,20,4.85,3
996,zl9394,UCSB,1,MS,CS,CS , BUPT,一小牛,15Fall,2014/12/14,美国,1.5,28,6,22,10,3
2688,laobulang,UIUC,0,MS,CS,, ,Imagine Cup中国区总决赛,16Fall,2015/11/27,美国,1,24,4,15,2.2625,3
995,zl9394,USC,1,MS,CS,CS , BUPT,usc不看lor吧,15Fall,2014/12/1,美国,1.5,28,6,22,10,3
2063,wangsiwei,Columbia,0,MS,CS,se , seu,,16Fall,2016/1/16,美国,1,19,4,9,2.15,3
2857,feifeijiejie,SIT,0,MS,CS,network engineering , UESTC,,16Fall,2015/12/15,美国,1.5,20,8,17,2.15,3
3651,sdlcenjoy,CS@NYU Tandon,1,MS,CS,, ,,16Fall,2016/1/15,美国,1.5,22,4,17,9.9125,3
2859,feifeijiejie,Syracuse,1,MS,CS,网络工程 , UESTC,Utah教授推荐,16Fall,2015/12/20,美国,1.5,20,8,17,2.15,3
3653,sdlcenjoy,NEU,1,MS,CS,cs , ,无,16Fall,2016/1/9,美国,1.5,22,4,17,9.9125,3
2858,feifeijiejie,UTDallas,1,MS,CS,Network Engineering , UESTC,,16Fall,2015/12/15,美国,1.5,20,8,17,2.15,3
2062,wangsiwei,ufl,1,MS,CS,se , seu,,16Fall,2016/1/15,美国,1,19,4,9,2.15,3
3650,sdlcenjoy,USC,1,MS,CS,CS , ,,16Fall,2015/12/15,美国,1.5,22,4,17,9.9125,3
304,mgllyyk,UIUC,1,MS,MIS,, ,,15Fall,2014/12/24,美国,1.5,14,4,20,4.85,3
137,aprilxiao,MISM 21 month@CMU,1,MS,MIS,, ,,15Fall,2014/12/31,美国,1,29,4,24,4.85,3
2061,wangsiwei,stony brook,0,MS,CS,se , seu,,16Fall,2015/11/30,美国,1,19,4,9,2.15,3
2534,an小淇,BIC@CMU,0,MS,CS,Software Engineering ,985,,16Fall,2015/11/25,美国,1,22,4,17,4.85,3
1271,默de途,CMU,0,MS,CS,光电 , 电子科大,无,15Fall,2014/12/2,美国,1,21,4,17,10,3
1078,么凹,UCSD,1,MS,CS,, ,,15Fall,2014/12/12,美国,1,23,4,15,10,3
1079,么凹,MCDS@CMU,0,MS,CS,, ,,15Fall,2014/12/3,美国,1,23,4,15,10,3
1080,么凹,MSCV@CMU,0,MS,CS,, ,,15Fall,2014/12/1,美国,1,23,4,15,10,3
1549,yzy123,University of British Columbia,1,MS,CS,通信工程 , BUPT,,15Fall,2014/12/15,加拿大,1,18,4,13,10,3
3861,凝弦望夜,NCSU,1,MS,CS,CS , XJTU,,16Fall,2015/12/6,美国,1.5,25,5,22,10,3
1077,么凹,Carnegie Mellon University,1,MS,CS,cs , scut,生物相关项目,15Fall,2014/12/28,美国,1,23,4,15,10,3
1550,yzy123,Ohio State University,1,MS,CS,通信工程 , BUPT,,15Fall,2015/1/15,美国,1,18,4,13,10,3
1825,一席寂然,ebiz@CMU,0,MS,CS,, ,,15Fall,2015/1/15,美国,1,22,4,16,10,3
1824,一席寂然,CMU,1,MS,CS,, NJUST,,15Fall,2015/1/15,美国,1,22,4,16,10,3
1272,默de途,CMU,0,MS,CS,光电 , 电子科大,无,15Fall,2014/12/2,美国,1,21,4,17,10,3
1578,cicitaotao,ucsc,0,MS,CS,, ,微软上海高级项目经理算吗，水科研水文章,15Fall,2015/1/2,美国,1.5,19,0,9,5.975,3
2852,iakul2,ASU,1,MS,CS,CS , ,,16Fall,2015/11/29,美国,1,14,4,16,5.975,3
1580,cicitaotao,WPI(Data Science),1,MS,CS,, ,,15Fall,2015/2/18,美国,1.5,19,0,9,5.975,3
3263,z-ling,University of Virginia,1,MS,CS,Software Engineering , ,,16Fall,2015/12/15,美国,1,22,4,17,7.55,3
3089,奔跑的Matt,Vanderbilt,1,MS,CS,, ,,16Fall,2016/1/6,美国,1,25,4,17,7.1,3
667,norafang,ebiz@cmu,1,MS,MIS,信管 , BUPT,无,15Fall,2014/11/23,美国,1.5,19,5,18,7,3
666,norafang,MSIS@University of Pittsburgh,1,MS,MIS,信管 , BUPT,无,15Fall,2014/11/12,美国,1.5,19,5,18,7,3
2724,paopao12345,CMU,0,MS,CS,, ,,16Fall,2015/12/1,美国,1.5,27,1,13,8.225,3
3556,Seddas,CS@USC,1,MS,CS,SE , DLUT,半年工作经验,16Fall,2015/12/25,美国,1,20,5,16,7.55,3
2731,paopao12345,U Chicago & USC,1,MS,CS,, ,,16Fall,2015/12/18,美国,1.5,27,1,13,8.225,3
3958,lixin99830,NEU,1,MS,CS,IE , CUG,2 paper,16Fall,2015/11/30,美国,1,27,4,19,7,3
967,Pandaman,GaTech,1,MS,CS,, ,,15Fall,2014/12/3,美国,1,22,4,17,7,3
2725,paopao12345,UCSD,1,MS,CS,SE , JLU,ACM金牌，无论文，无交流，（当时）无实习,16Fall,2015/12/10,美国,1.5,27,1,13,8.225,3
3957,lixin99830,MIIS@CMU,0,MS,CS,, ,,16Fall,2015/12/10,美国,1,27,4,19,7,3
681,snooze,ebiz@CMU,0,MS,MIS,cs , seu,,15Fall,2014/12/7,美国,1,20,6,23,7,3
682,snooze,UCSD,1,MS,CS,计算机科学与技术 , 东南大学,,15Fall,2014/12/12,美国,1,20,6,23,7,3
3260,z-ling,CMU,1,MS,CS,Software Engineering , ECNU,,16Fall,2015/12/1,美国,1,22,4,17,7.55,3
965,Pandaman,CMU,0,MS,CS,, ,,15Fall,2015/1/1,美国,1,22,4,17,7,3
1177,usa521,NYU-POLY,1,MS,CS,通信工程 , ,无牛腿 水项目,15Fall,2015/1/1,美国,1,19,4,16,7.54,3
1176,usa521,WPI 伍斯特理工,0,MS,CS,通信工程 , ,,15Fall,2014/12/31,美国,1,19,4,16,7.54,3
1394,Reggie,University of Wisconsin–Madison,0,MS,CS,自动化 , 厦门大学,,15Fall,2014/12/9,美国,1.5,28,5,19,7.53,3
665,norafang,TAMU,0,MS,MIS,信管 , BUPT,,15Fall,2014/11/17,美国,1.5,19,5,18,7,3
664,norafang,ebiz@cmu,1,MS,MIS,信管 , BUPT,无,15Fall,2014/11/23,美国,1.5,19,5,18,7,3
4268,stephenshaw,CS(computer network)@USC,1,MS,CS,CS , BUPT,,16Fall,2015/12/15,美国,1,20,-1,6,7,3
669,norafang,MSIS@University of Pittsburgh,1,MS,MIS,信管 , BUPT,无,15Fall,2014/11/12,美国,1.5,19,5,18,7,3
1564,喜马拉雅疯子,ML@CMU,0,MS,CS,通信 , 电子科大,,15Fall,2014/11/26,美国,1.5,19,4,17,8.225,3
668,norafang,TAMU,0,MS,MIS,信管 , BUPT,,15Fall,2014/11/17,美国,1.5,19,5,18,7,3
