,username,adschool,result,degree,major,grad_major,grad_school,background,year,ap_time,country,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank
3490,northaqua,Rice,0,MS,CS,, ,,16Fall,2015/12/12,美国,1,19,6,19,5,6
1701,UpDownDOTA,Gatech,1,MS,CS,TCS , THU,,15Fall,2014/12/29,美国,1,21,5,15,9,6
3994,xf814,CMU,1,MS,CS,bio , PKU,,16Fall,2016/1/15,美国,2,33,5,26,8.9,6
4222,alexanderhmw,CMU,1,PhD,CS,CIS , PKU,我在日本的导师是申请导师的学生,16Fall,2015/12/15,美国,1.5,25,4,21,6.425,6
3493,northaqua,USC,1,MS,CS,Bio , ,,16Fall,2015/12/10,美国,1,19,6,19,5,6
585,北方的精灵,Upitt,1,MS,MIS,, ,,15Fall,2015/1/15,美国,1,13,5,8,5,6
4233,且食蛤蜊,CMU,1,PhD,CS,Machine Intelligence Dept at School of EECS , PKU,CMU教授强推,16Fall,2015/12/3,美国,1,22,4,16,8.7875,6
1430,emissary30,MSIS@Cornell Tech,1,MS,CS,CS , PKU,"CMU的Summer Intern,拿了CMU老师的推荐信,外加一点不管用的diversity",15Fall,2014/11/10,美国,1,24,4,19,4.85,6
1180,wsd10,CS@CMU,0,MS,CS,工程物理 , 清华大学,IEEE Conference paper一篇，一美国教授推荐信,15Fall,2014/12/15,美国,1,20,4,16,4.85,6
1179,wsd10,ANU(澳洲国立),1,MS,CS,工程物理 , 清华,IEEE Conference Paper 一篇,15Fall,2015/2/2,澳洲,1,20,4,16,4.85,6
1178,wsd10,CMU,0,MS,CS,工程物理 , 清华大学,美国教授推荐信一封,15Fall,2014/12/15,美国,1,20,4,16,4.85,6
1329,brendaV,Informatics @ UCI,1,PhD,CS,CS , ,,15Fall,12.15,美国,1,31,4,22,4.85,6
3804,家花没有,CMU,0,MS,CS,信息安全 , 北京邮电大学,,16Fall,2016/1/23,美国,1,22,4,17,6.7,6
3916,demonstrate,CMU,0,MS,CS,, ,,16Fall,2015/12/20,美国,1,27,4,17,4.85,6
711,zj45499,Syracuse,1,MS,MIS,, ,,15Fall,2015/1/6,美国,1,34,4,27,4.85,6
709,zj45499,BIC @ CMU,1,MS,CS,Automation , ,无牛推 无实习,15Fall,2015/1/17,美国,1,34,4,27,4.85,6
1450,konlzp,UCSD,1,MS,CS,, ,,15Fall,2014/12/8,美国,1,22,4,17,10.925,6
1609,christy.zhang,brown,0,MS,CS,cs , bupt,,15Fall,2014/12/8,美国,1,22,4,17,7.1,6
860,hadoopG,Brown University,0,MS,CS,网工 , BUPT,,15Fall,2015/1/25,美国,1,22,4,17,0.35,6
2638,jty2005,CS@USC (Game Development),1,MS,CS,CS , ,,16Fall,2016/1/15,美国,1,27,5,24,7.1,6
1070,落水狗,UMN,1,PhD,CS,CS , 清华,,15Fall,2014/12/5,美国,2.5,15,4,25,7.1,6
634,多多多多多,Syracuse,1,MS,MIS,信息工程 , BUPT,,15Fall,2014/12/31,美国,1,17,2,16,0.35,6
635,多多多多多,WPI,1,MS,MIS,Information Engineering , BUPT,,15Fall,2014/12/30,美国,1,17,2,16,0.35,6
189,oldjade,CMU,1,MS,MIS,MIS , PKU,,15Fall,2015/1/15,美国,2,15,4,16,7.4375,6
636,多多多多多,SIT,1,MS,MIS,Information Engineering , BUPT,,15Fall,2014/12/31,美国,1,17,2,16,0.35,6
192,oldjade,UW,1,MS,MIS,信息管理 , ,,15Fall,2015/1/15,美国,2,15,4,16,7.4375,6
857,hadoopG,SIT,1,MS,CS,Network Engineering , BUPT,,15Fall,2014/12/29,美国,1,22,4,17,0.35,6
856,hadoopG,CMU,1,MS,CS,网工 , bupt,,15Fall,11.25,美国,1,22,4,17,0.35,6
3276,hbisheng,UCLA,1,MS,CS,, ,,16Fall,2015/11/30,美国,1,26,8,23,7.6625,6
855,hadoopG,CS@WPI,1,MS,CS,网络工程 , BUPT,,15Fall,2014/12/10,美国,1,22,4,17,0.35,6
861,hadoopG,NEU-mis,1,MS,CS,网络工程 , BUPT,,15Fall,2015/1/23,美国,1,22,4,17,0.35,6
632,多多多多多,SIT,1,MS,MIS,Information Engineering , BUPT,,15Fall,2014/12/31,美国,1,17,2,16,0.35,6
1062,Tchief,UW-Madison,1,PhD,CS,, ,无论文无牛推无套磁,15Fall,2014/12/5,美国,1.5,24,4,15,7.1,6
2389,phisiart,UCLA,1,MS,CS,EE , THU,,16Fall,2015/12/1,美国,2,27,4,25,11,6
630,多多多多多,Syracuse,1,MS,MIS,信息工程 , BUPT,,15Fall,2014/12/31,美国,1,17,2,16,0.35,6
1493,Weissach,MS of Robotics@CMU,1,混合,CS,汽车系 , 清华大学,,15Fall,2014/12/15,美国,1,22,4,17,13.12,6
185,oldjade,CMU,1,MS,MIS,MIS , PKU,,15Fall,2015/1/15,美国,2,15,4,16,7.4375,6
